Date,AQI
2019-09-25 00:00:00+00:00,64
2019-09-26 00:00:00+00:00,44
2019-09-27 00:00:00+00:00,53
2019-09-28 00:00:00+00:00,29
2019-09-29 00:00:00+00:00,34
2019-09-30 00:00:00+00:00,36
2019-10-01 00:00:00+00:00,26
2019-10-02 00:00:00+00:00,41
2019-10-03 00:00:00+00:00,62
2019-10-04 00:00:00+00:00,75
2019-10-05 00:00:00+00:00,76
2019-10-06 00:00:00+00:00,87
2019-10-07 00:00:00+00:00,59
2019-10-08 00:00:00+00:00,91
2019-10-09 00:00:00+00:00,85
2019-10-10 00:00:00+00:00,90
2019-10-11 00:00:00+00:00,96
2019-10-12 00:00:00+00:00,86
2019-10-13 00:00:00+00:00,95
2019-10-14 00:00:00+00:00,89
2019-10-15 00:00:00+00:00,124
2019-10-16 00:00:00+00:00,131
2019-10-17 00:00:00+00:00,120
2019-10-18 00:00:00+00:00,124
2019-10-19 00:00:00+00:00,115
2019-10-20 00:00:00+00:00,104
2019-10-21 00:00:00+00:00,95
2019-10-22 00:00:00+00:00,101
2019-10-23 00:00:00+00:00,109
2019-10-24 00:00:00+00:00,78
2019-10-25 00:00:00+00:00,135
2019-10-26 00:00:00+00:00,106
2019-10-27 00:00:00+00:00,98
2019-10-28 00:00:00+00:00,71
2019-10-29 00:00:00+00:00,59
2019-10-30 00:00:00+00:00,47
2019-10-31 00:00:00+00:00,79
2019-11-01 00:00:00+00:00,67
2019-11-02 00:00:00+00:00,77
2019-11-03 00:00:00+00:00,71
2019-11-04 00:00:00+00:00,57
2019-11-05 00:00:00+00:00,70
2019-11-06 00:00:00+00:00,105
2019-11-07 00:00:00+00:00,123
2019-11-08 00:00:00+00:00,52
2019-11-09 00:00:00+00:00,82
2019-11-10 00:00:00+00:00,101
2019-11-11 00:00:00+00:00,160
2019-11-12 00:00:00+00:00,169
2019-11-13 00:00:00+00:00,163
2019-11-14 00:00:00+00:00,104
2019-11-15 00:00:00+00:00,100
2019-11-16 00:00:00+00:00,82
2019-11-17 00:00:00+00:00,107
2019-11-18 00:00:00+00:00,111
2019-11-19 00:00:00+00:00,76
2019-11-20 00:00:00+00:00,74
2019-11-21 00:00:00+00:00,71
2019-11-22 00:00:00+00:00,61
2019-11-23 00:00:00+00:00,76
2019-11-24 00:00:00+00:00,81
2019-11-25 00:00:00+00:00,81
2019-11-26 00:00:00+00:00,77
2019-11-27 00:00:00+00:00,80
2019-11-28 00:00:00+00:00,72
2019-11-29 00:00:00+00:00,64
